player,matches,ace,dfs,svpt,svgms,last,ace_pct,df_pct,ace_pct_raw,ace_hard,n_hard,ace_clay,n_clay,ace_grass,n_grass,ret_matches,ace_conc,svpt_faced,conceded_pct,ret_mult
Lorenzo Musetti,335.0,1257.0,689.0,25944.0,4136.0,20260821.0,0.048912172261373996,0.026695713525513892,0.04845050878815911,0.05917038400312704,14092.0,0.031564500233255514,9227.0,0.06290962511245632,2625.0,318,1528.0,25212.0,0.06089107707534111,0.7721839258067024
Lorenzo Sonego,362.0,2225.0,717.0,29089.0,4602.0,20260827.0,0.07652149160885878,0.024798123948460035,0.07648939461652171,0.08706144952122982,15112.0,0.049642337131812105,9186.0,0.09503017067331543,4791.0,346,1294.0,27640.0,0.04727326198479445,0.5994910055530962
Louis Van Herck,1.0,1.0,6.0,69.0,11.0,20250912.0,0.06938649478387295,0.04322361858451586,0.014492753623188406,,,0.046634208412688324,69.0,,,1,2.0,74.0,0.07076427437476036,0.8973898610128828
Louis Wessels,1.0,5.0,4.0,91.0,14.0,20230619.0,0.0744241671153491,0.03721359901453755,0.054945054945054944,,,,,0.08819066388020437,91.0,1,8.0,78.0,0.08272440596995065,1.0490610386619779
Luca Nardi,53.0,156.0,199.0,3996.0,603.0,20251013.0,0.042662025944867246,0.04851498569520881,0.03903903903903904,0.05004995078836681,2547.0,0.03319507347418613,1012.0,0.06726596889507808,437.0,54,283.0,3864.0,0.07376694794878903,0.9354679568468692
Luca Preda,1.0,3.0,1.0,64.0,8.0,20240203.0,0.07444453890869916,0.032913528267538655,0.046875,0.08296811416663145,64.0,,,,,1,0.0,47.0,0.07056435358755349,0.8948545861297539
Luca Van Assche,63.0,255.0,194.0,5198.0,795.0,20251103.0,0.051186542703400575,0.037204694018602706,0.04905732974220854,0.06748474132176792,3060.0,0.02759410176882621,1661.0,0.06761871831833563,477.0,70,527.0,5925.0,0.08830707763693856,1.1198571147269607
Luca Vanni,1.0,25.0,7.0,175.0,25.0,20190114.0,0.09833437574545463,0.0369945688976312,0.14285714285714285,0.10521253038837738,175.0,,,,,1,20.0,156.0,0.09270191736265541,1.1755898223040713
Lucas Catarina,3.0,6.0,12.0,275.0,42.0,20220411.0,0.0556181719313132,0.03892129943131546,0.02181818181818182,,,0.03980954628970492,275.0,,,3,7.0,256.0,0.0587534543500555,0.7450758832627626
Lucas Gomez,1.0,1.0,3.0,38.0,6.0,20190729.0,0.07429741108136166,0.0394335093975752,0.02631578947368421,0.08332695199387442,38.0,,,,,1,8.0,33.0,0.09132163060886007,1.1580858579224607
Lucas Miedler,2.0,12.0,2.0,154.0,21.0,20240203.0,0.07859614811125706,0.02937161934320927,0.07792207792207792,0.0817350424061932,71.0,0.061845639224742906,83.0,,,2,21.0,133.0,0.09857836032577187,1.2501113288201064
Lucas Pouille,80.0,531.0,332.0,7228.0,1092.0,20250127.0,0.07374701967142584,0.04539484492870188,0.07346430547869397,0.08492196656345458,4057.0,0.04878797631391613,1975.0,0.08226918293557667,1196.0,80,615.0,6759.0,0.09031181255114351,1.1452799541741452
Luciano Darderi,111.0,641.0,299.0,8452.0,1306.0,20260115.0,0.07597630660343836,0.03538995448668526,0.07584003786086134,0.09148130534234841,2852.0,0.06382959826039006,4345.0,0.08175324227503344,1255.0,122,846.0,9137.0,0.09201449785610112,1.1668723825946306
Luis Carlos Alvarez,2.0,1.0,4.0,116.0,18.0,20250714.0,0.06306640708069072,0.03541061456615879,0.008620689655172414,0.07073101739014921,116.0,,,,,2,12.0,109.0,0.08554472702089667,1.084826649745851
Luis David Martinez,1.0,4.0,1.0,86.0,15.0,20200306.0,0.07313223467826421,0.031423615465304394,0.046511627906976744,0.08126996908089917,86.0,,,,,1,9.0,105.0,0.08028171495769586,1.0180843040405516
Luka Mikrut,1.0,0.0,2.0,59.0,10.0,20240722.0,0.0687195338859181,0.03545071267132448,0.0,,,0.04547155500120005,59.0,,,1,1.0,67.0,0.06968365321977818,0.8836860750750604
Lukas Hellum-Lilleengen,1.0,2.0,1.0,36.0,8.0,20200306.0,0.07693180287531287,0.035027241092059486,0.05555555555555555,0.08600276370026834,36.0,,,,,1,1.0,43.0,0.07345883985019505,0.9315607157111809
Lukas Klein,30.0,207.0,99.0,2610.0,416.0,20250912.0,0.07924992227695561,0.0376318528625043,0.07931034482758621,0.08749228692552546,1583.0,0.06152035047356842,752.0,0.08489128291137829,275.0,30,199.0,2747.0,0.07325779029349742,0.9290111264539507
Lukas Lacko,6.0,29.0,12.0,411.0,65.0,20210612.0,0.07465137614505106,0.03239442307785196,0.0705596107055961,0.08827688277080781,240.0,,,0.0810886444223824,171.0,6,61.0,398.0,0.11596775194691279,1.4706331086005564
Lukas Neumayer,6.0,14.0,16.0,529.0,80.0,20250912.0,0.04902289133868289,0.032585443612635025,0.026465028355387523,0.06997842322650422,193.0,0.03922750508906362,336.0,,,7,45.0,558.0,0.07989798126684385,1.0132180247415377
Lukas Pokorny,1.0,3.0,0.0,25.0,4.0,20240202.0,0.08127592012620331,0.033580887332089256,0.12,,,0.05616810293070782,25.0,,,1,0.0,17.0,0.0756409257880969,0.9592326139088729
Lukas Rosol,9.0,45.0,32.0,756.0,124.0,20221017.0,0.06621303291837059,0.040027575359980916,0.05952380952380952,0.07668368708382453,415.0,0.048523434866471975,195.0,0.08846449810472591,146.0,9,64.0,741.0,0.0837355530706717,1.061883796532343
Luke Saville,1.0,6.0,2.0,83.0,10.0,20230920.0,0.07772725891022031,0.03368918657585494,0.07228915662650602,0.08591553824703312,83.0,,,,,1,4.0,51.0,0.0788076852630519,0.9993915482044627
M Rifki Fitriadi,2.0,7.0,4.0,104.0,18.0,20240203.0,0.07647275010642145,0.03625372443678162,0.0673076923076923,0.08431985113753372,104.0,,,,,2,4.0,106.0,0.07024163251706801,0.8907620320952822
Mackenzie McDonald,228.0,1183.0,533.0,18316.0,2858.0,20251103.0,0.06489326063547962,0.029240856866645543,0.06458833806507971,0.07005845404432288,12896.0,0.04547126294587283,2786.0,0.06634858799116031,2634.0,228,1413.0,18407.0,0.07680875557258661,0.9740423271045432
Maks Kasnikowski,2.0,15.0,7.0,232.0,32.0,20240826.0,0.07364282603423483,0.03365803341161066,0.06465517241379311,0.07990064078056487,232.0,,,,,2,11.0,206.0,0.07020175916441652,0.8902563822781931
Malek Jaziri,37.0,103.0,104.0,2771.0,402.0,20230227.0,0.04242897068862706,0.037297974492632585,0.03717069649945868,0.05326498232684932,1299.0,0.03427446156844078,1376.0,0.0933500321878636,96.0,37,186.0,2520.0,0.0745007760457659,0.944773922318456
Manas Dhamne,1.0,0.0,0.0,59.0,9.0,20230102.0,0.0687195338859181,0.031093414196378944,0.0,0.07733595854753159,59.0,,,,,1,3.0,49.0,0.07693155023081606,0.9755995349224044
Manuel Guinard,13.0,62.0,53.0,1135.0,162.0,20250210.0,0.06093958700562633,0.04382532711149051,0.05462555066079295,0.0752400048284631,630.0,0.04516181629342632,505.0,,,13,82.0,1046.0,0.07852162244373195,0.9957638720085482
Manuel Sanchez,2.0,2.0,14.0,135.0,20.0,20200306.0,0.0626958243993204,0.05284463012362231,0.014814814814814815,,,0.04275036214121649,135.0,,,2,6.0,114.0,0.07303942811991519,0.9262419890278581
Marc Polmans,20.0,90.0,80.0,2086.0,316.0,20240715.0,0.048890694309588256,0.037921109057175356,0.04314477468839885,0.05901000289146337,1320.0,0.03787907208043046,415.0,0.06964263111209101,351.0,21,178.0,2078.0,0.08456104360518014,1.0723521697697602
Marc-Andrea Huesler,77.0,669.0,202.0,6391.0,1004.0,20250912.0,0.10315745340209635,0.03184683803801177,0.10467845407604444,0.10710703516313749,3666.0,0.07977555997687934,1955.0,0.11991591108135073,770.0,77,506.0,6282.0,0.08044631338725476,1.0201716420812494
Marcel Granollers,20.0,103.0,42.0,1444.0,242.0,20190916.0,0.07296218332626703,0.030516202340638794,0.07132963988919667,0.08825843910723218,750.0,0.05040393414516491,272.0,0.07579272015228752,422.0,20,126.0,1556.0,0.0805430808045176,1.0213987881220352
Marcelo Arevalo,4.0,9.0,10.0,230.0,37.0,20240914.0,0.06435280325974034,0.03852678907323482,0.0391304347826087,0.08890809462659814,33.0,0.04501079354363622,197.0,,,4,8.0,235.0,0.06227128512383687,0.7896868920951582
Marco Cecchinato,132.0,550.0,338.0,10435.0,1591.0,20230828.0,0.05367256724076016,0.03251240213346912,0.05270723526593196,0.07406751000102156,2847.0,0.04504352003006944,7101.0,0.0747481577961447,487.0,132,627.0,10020.0,0.06319983359439889,0.8014621839398604
Marco Trungelliti,21.0,97.0,71.0,1702.0,260.0,20250714.0,0.06115236253741028,0.040567020511959054,0.05699177438307873,0.08141417200857129,687.0,0.040858920978014544,894.0,0.09654820722683367,121.0,24,152.0,1885.0,0.08032484291187589,1.0186312267518964
Marcos Baghdatis,7.0,40.0,29.0,528.0,86.0,20190701.0,0.07709295910952199,0.046629177926872774,0.07575757575757576,0.08869540732367542,361.0,,,0.08166069835128809,167.0,7,41.0,565.0,0.07517333269806882,0.9533028802716896
Marcos Giron,302.0,1601.0,513.0,24712.0,3862.0,20260824.0,0.06501044385368097,0.020996809378629258,0.06478633862091292,0.06764388786244224,15322.0,0.05071166245322626,5040.0,0.07501086651898534,4350.0,277,1855.0,22528.0,0.08228115256688924,1.0434399662595364
Marcos Lee Chan Baratau,1.0,1.0,2.0,76.0,12.0,20240914.0,0.06836610515469835,0.03418461579020575,0.013157894736842105,0.07667480036411134,76.0,,,,,1,10.0,74.0,0.08764191150556205,1.1114218789040757
Mariano Navone,83.0,212.0,203.0,6675.0,1020.0,20260113.0,0.03442293513125603,0.030709805952811017,0.03176029962546816,0.05290642494026944,2558.0,0.02248444536112355,3686.0,0.07015838262957924,431.0,94,277.0,7607.0,0.03853406594899918,0.48866579063753357
Marin Cilic,212.0,2224.0,802.0,17778.0,2817.0,20260107.0,0.1240808816180898,0.04490438316185157,0.12509843626954664,0.1288994817660031,12133.0,0.08836331944334588,3650.0,0.14417604006896884,1995.0,226,1810.0,18956.0,0.09514064197425276,1.2065162574238613
Mario Vilella Martinez,10.0,79.0,58.0,893.0,134.0,20210726.0,0.08549285851015964,0.055894723214337146,0.08846584546472565,0.09515248555169203,467.0,0.06400901179848767,426.0,,,10,41.0,834.0,0.058786277190953334,0.745492122740827
Marius Copil,32.0,335.0,108.0,2738.0,431.0,20240203.0,0.11680760549829076,0.03896490666543592,0.12235208181154127,0.12618000195799883,2140.0,0.05955389637835915,471.0,0.10873171909901394,127.0,32,198.0,2646.0,0.0753585902999463,0.955652205479491
Mark Lajal,8.0,56.0,19.0,621.0,100.0,20251013.0,0.0857416905520435,0.03258753880131042,0.09017713365539452,0.0983036523090065,368.0,,,0.08315714542906638,253.0,8,55.0,680.0,0.08013172782744112,1.0161822576878934
