player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Guido Pella,Cem Ilkel,Hard,O,20181231,3,5.0,1.0,66.0,11.0,Doha,R32,7-6(1) 6-3,1,48.0,36.0,11.0,0.0,2.0,58.0,249.0
Dusan Lajovic,Adrian Mannarino,Hard,O,20181231,3,3.0,1.0,77.0,11.0,Doha,R32,6-3 7-6(5),1,58.0,40.0,9.0,6.0,8.0,48.0,42.0
Ricardas Berankis,David Goffin,Hard,O,20181231,3,6.0,3.0,104.0,15.0,Doha,R32,3-6 6-4 7-6(4),1,66.0,44.0,21.0,3.0,5.0,116.0,22.0
Roberto Bautista Agut,Matteo Berrettini,Hard,O,20181231,3,3.0,2.0,51.0,9.0,Doha,R32,6-1 6-4,1,34.0,27.0,12.0,2.0,2.0,24.0,54.0
Guillermo Garcia-Lopez,Mubarak Shannan Zayid,Hard,O,20181231,3,1.0,0.0,40.0,8.0,Doha,R32,6-1 6-3,1,27.0,22.0,12.0,3.0,3.0,105.0,
Nicolas Jarry,Robin Haase,Hard,O,20181231,3,12.0,1.0,124.0,17.0,Doha,R32,6-7(7) 6-4 7-6(4),1,87.0,59.0,24.0,7.0,9.0,43.0,50.0
Stan Wawrinka,Karen Khachanov,Hard,O,20181231,3,7.0,1.0,86.0,11.0,Doha,R32,7-6(7) 6-4,1,49.0,36.0,22.0,4.0,4.0,66.0,11.0
Nikoloz Basilashvili,Albert Ramos-Vinolas,Hard,O,20181231,3,9.0,3.0,66.0,11.0,Doha,R32,6-1 1-6 6-1,1,33.0,27.0,16.0,2.0,4.0,21.0,65.0
Andrey Rublev,Andreas Seppi,Hard,O,20181231,3,10.0,3.0,59.0,10.0,Doha,R32,7-5 6-1,1,30.0,22.0,18.0,3.0,5.0,68.0,37.0
Marton Fucsovics,Marius Copil,Hard,O,20181231,3,1.0,2.0,54.0,8.0,Doha,R32,6-3 6-2,1,32.0,24.0,15.0,8.0,8.0,36.0,60.0
Novak Djokovic,Damir Dzumhur,Hard,O,20181231,3,3.0,2.0,42.0,8.0,Doha,R32,6-1 6-2,1,26.0,21.0,11.0,0.0,0.0,1.0,47.0
Pierre-Hugues Herbert,Maximilian Marterer,Hard,O,20181231,3,9.0,2.0,110.0,17.0,Doha,R16,6-3 6-7(6) 7-6(6),1,73.0,57.0,25.0,2.0,2.0,55.0,74.0
Tomas Berdych,Fernando Verdasco,Hard,O,20181231,3,3.0,2.0,89.0,16.0,Doha,R16,4-6 6-3 7-5,1,59.0,44.0,15.0,2.0,5.0,71.0,28.0
Dusan Lajovic,Ricardas Berankis,Hard,O,20181231,3,8.0,2.0,100.0,15.0,Doha,R16,7-6(4) 0-6 7-5,1,73.0,48.0,12.0,7.0,12.0,48.0,116.0
Roberto Bautista Agut,Guillermo Garcia-Lopez,Hard,O,20181231,3,2.0,0.0,49.0,9.0,Doha,R16,6-1 6-4,1,33.0,25.0,11.0,3.0,4.0,24.0,105.0
Stan Wawrinka,Nicolas Jarry,Hard,O,20181231,3,5.0,1.0,61.0,11.0,Doha,R16,6-4 7-6(3),1,30.0,28.0,20.0,0.0,0.0,66.0,43.0
Nikoloz Basilashvili,Andrey Rublev,Hard,O,20181231,3,8.0,8.0,60.0,10.0,Doha,R16,6-3 6-4,1,36.0,31.0,8.0,2.0,4.0,21.0,68.0
Novak Djokovic,Marton Fucsovics,Hard,O,20181231,3,5.0,1.0,75.0,14.0,Doha,R16,4-6 6-4 6-1,1,53.0,39.0,13.0,2.0,4.0,1.0,36.0
