player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Holger Rune,Botic van de Zandschulp,Clay,O,20220425,3,0.0,0.0,22.0,3.0,Munich,F,3-4 RET,1,15.0,8.0,3.0,1.0,3.0,70.0,40.0
Marin Cilic,Albert Ramos-Vinolas,Clay,O,20220502,3,18.0,3.0,96.0,14.0,Madrid Masters,R64,6-3 3-6 6-4,1,58.0,44.0,17.0,7.0,10.0,24.0,43.0
Lorenzo Musetti,Ilya Ivashka,Clay,O,20220502,3,2.0,2.0,96.0,15.0,Madrid Masters,R64,2-6 6-3 7-5,1,69.0,44.0,14.0,5.0,9.0,63.0,48.0
Sebastian Korda,Reilly Opelka,Clay,O,20220502,3,2.0,2.0,62.0,10.0,Madrid Masters,R64,6-3 7-5,1,45.0,35.0,7.0,2.0,3.0,30.0,17.0
Jannik Sinner,Tommy Paul,Clay,O,20220502,3,8.0,3.0,108.0,17.0,Madrid Masters,R64,6-7(4) 7-6(4) 6-3,1,64.0,46.0,29.0,2.0,4.0,12.0,35.0
Alex de Minaur,Pedro Martinez,Clay,O,20220502,3,6.0,1.0,103.0,14.0,Madrid Masters,R64,7-6(2) 1-6 6-3,1,58.0,38.0,19.0,12.0,17.0,22.0,44.0
Cristian Garin,Frances Tiafoe,Clay,O,20220502,3,6.0,0.0,46.0,8.0,Madrid Masters,R64,6-1 6-3,1,28.0,24.0,7.0,0.0,1.0,39.0,25.0
Lucas Pouille,Karen Khachanov,Clay,O,20220502,3,1.0,1.0,74.0,10.0,Madrid Masters,R64,6-3 6-4,1,47.0,31.0,18.0,7.0,7.0,174.0,26.0
Grigor Dimitrov,Maxime Cressy,Clay,O,20220502,3,5.0,3.0,54.0,10.0,Madrid Masters,R64,6-2 7-6(4),1,38.0,33.0,10.0,1.0,2.0,20.0,64.0
Diego Schwartzman,Benoit Paire,Clay,O,20220502,3,2.0,0.0,83.0,14.0,Madrid Masters,R64,6-2 6-7(5) 6-1,1,55.0,43.0,21.0,2.0,2.0,15.0,62.0
Roberto Bautista Agut,Jenson Brooksby,Clay,O,20220502,3,4.0,1.0,53.0,7.0,Madrid Masters,R64,6-0 6-2,1,33.0,22.0,11.0,5.0,6.0,19.0,42.0
Daniel Evans,Federico Delbonis,Clay,O,20220502,3,6.0,1.0,61.0,10.0,Madrid Masters,R64,6-3 6-4,1,46.0,35.0,6.0,1.0,2.0,36.0,37.0
Jack Draper,Lorenzo Sonego,Clay,O,20220502,3,4.0,0.0,63.0,10.0,Madrid Masters,R64,6-4 6-3,1,32.0,25.0,17.0,3.0,4.0,121.0,28.0
Nikoloz Basilashvili,Fabio Fognini,Clay,O,20220502,3,3.0,0.0,53.0,11.0,Madrid Masters,R64,7-5 6-4,1,35.0,26.0,9.0,1.0,4.0,27.0,51.0
John Isner,Filip Krajinovic,Clay,O,20220502,3,30.0,2.0,76.0,11.0,Madrid Masters,R64,7-6(8) 6-4,1,51.0,40.0,14.0,1.0,2.0,23.0,56.0
Cameron Norrie,Soonwoo Kwon,Clay,O,20220502,3,9.0,0.0,67.0,12.0,Madrid Masters,R64,7-5 7-5,1,50.0,36.0,7.0,2.0,4.0,11.0,73.0
Botic van de Zandschulp,Pablo Carreno Busta,Clay,O,20220502,3,11.0,0.0,123.0,17.0,Madrid Masters,R64,6-7(6) 7-6(1) 6-3,1,87.0,65.0,20.0,10.0,11.0,31.0,18.0
David Goffin,Aslan Karatsev,Clay,O,20220502,3,9.0,2.0,62.0,10.0,Madrid Masters,R64,6-2 7-5,1,41.0,31.0,13.0,3.0,4.0,60.0,34.0
Miomir Kecmanovic,Alexander Bublik,Clay,O,20220502,3,0.0,0.0,53.0,11.0,Madrid Masters,R64,6-4 7-5,1,31.0,26.0,18.0,0.0,0.0,32.0,33.0
Dusan Lajovic,Borna Coric,Clay,O,20220502,3,7.0,3.0,92.0,15.0,Madrid Masters,R64,6-3 4-6 6-4,1,65.0,51.0,13.0,5.0,6.0,77.0,264.0
Alejandro Davidovich Fokina,Lloyd Harris,Clay,O,20220502,3,2.0,3.0,59.0,11.0,Madrid Masters,R64,7-5 6-3,1,36.0,32.0,15.0,1.0,1.0,29.0,38.0
Hubert Hurkacz,Hugo Dellien,Clay,O,20220502,3,14.0,1.0,100.0,16.0,Madrid Masters,R64,7-5 6-7(11) 6-3,1,63.0,46.0,20.0,1.0,4.0,14.0,81.0
Denis Shapovalov,Ugo Humbert,Clay,O,20220502,3,5.0,1.0,89.0,11.0,Madrid Masters,R64,7-6(1) 6-3,1,62.0,41.0,19.0,9.0,9.0,16.0,46.0
Andy Murray,Dominic Thiem,Clay,O,20220502,3,9.0,2.0,62.0,10.0,Madrid Masters,R64,6-3 6-4,1,36.0,28.0,18.0,3.0,3.0,78.0,91.0
Gael Monfils,Carlos Gimeno Valero,Clay,O,20220502,3,4.0,0.0,38.0,8.0,Madrid Masters,R64,6-3 6-0,1,26.0,24.0,8.0,0.0,0.0,21.0,369.0
Alexander Zverev,Marin Cilic,Clay,O,20220502,3,11.0,4.0,89.0,15.0,Madrid Masters,R32,4-6 6-4 6-4,1,69.0,53.0,9.0,6.0,8.0,3.0,24.0
Lorenzo Musetti,Sebastian Korda,Clay,O,20220502,3,1.0,3.0,60.0,9.0,Madrid Masters,R32,6-4 6-3,1,37.0,26.0,11.0,4.0,6.0,63.0,30.0
Jannik Sinner,Alex de Minaur,Clay,O,20220502,3,1.0,3.0,50.0,9.0,Madrid Masters,R32,6-4 6-1,1,30.0,21.0,11.0,2.0,4.0,12.0,22.0
Felix Auger-Aliassime,Cristian Garin,Clay,O,20220502,3,8.0,0.0,52.0,8.0,Madrid Masters,R32,6-3 6-0,1,42.0,27.0,7.0,3.0,4.0,10.0,39.0
Stefanos Tsitsipas,Lucas Pouille,Clay,O,20220502,3,7.0,1.0,48.0,10.0,Madrid Masters,R32,6-3 6-4,1,33.0,31.0,5.0,0.0,1.0,5.0,174.0
Grigor Dimitrov,Diego Schwartzman,Clay,O,20220502,3,6.0,1.0,40.0,7.0,Madrid Masters,R32,6-0 6-3,1,29.0,24.0,6.0,1.0,1.0,20.0,15.0
Daniel Evans,Roberto Bautista Agut,Clay,O,20220502,3,9.0,1.0,93.0,16.0,Madrid Masters,R32,6-3 5-7 7-6(2),1,69.0,57.0,9.0,6.0,8.0,36.0,19.0
Andrey Rublev,Jack Draper,Clay,O,20220502,3,15.0,2.0,88.0,15.0,Madrid Masters,R32,2-6 6-4 7-5,1,53.0,41.0,16.0,8.0,12.0,8.0,121.0
Carlos Alcaraz,Nikoloz Basilashvili,Clay,O,20220502,3,4.0,1.0,54.0,10.0,Madrid Masters,R32,6-3 7-5,1,35.0,23.0,11.0,2.0,5.0,9.0,27.0
Cameron Norrie,John Isner,Clay,O,20220502,3,8.0,1.0,90.0,16.0,Madrid Masters,R32,6-4 6-7(5) 6-4,1,68.0,53.0,15.0,0.0,1.0,11.0,23.0
David Goffin,Botic van de Zandschulp,Clay,O,20220502,3,2.0,3.0,65.0,9.0,Madrid Masters,R32,6-4 6-2,1,36.0,25.0,18.0,4.0,5.0,60.0,31.0
Rafael Nadal,Miomir Kecmanovic,Clay,O,20220502,3,3.0,3.0,65.0,10.0,Madrid Masters,R32,6-1 7-6(4),1,44.0,32.0,11.0,2.0,4.0,4.0,32.0
Dusan Lajovic,Casper Ruud,Clay,O,20220502,3,5.0,0.0,88.0,15.0,Madrid Masters,R32,7-6(7) 2-6 6-4,1,63.0,50.0,12.0,2.0,5.0,77.0,7.0
Hubert Hurkacz,Alejandro Davidovich Fokina,Clay,O,20220502,3,13.0,2.0,105.0,16.0,Madrid Masters,R32,6-4 4-6 7-6(5),1,75.0,49.0,20.0,6.0,9.0,14.0,29.0
Andy Murray,Denis Shapovalov,Clay,O,20220502,3,3.0,0.0,69.0,12.0,Madrid Masters,R32,6-1 3-6 6-2,1,45.0,35.0,13.0,2.0,3.0,78.0,16.0
Novak Djokovic,Gael Monfils,Clay,O,20220502,3,2.0,3.0,68.0,9.0,Madrid Masters,R32,6-3 6-2,1,43.0,30.0,14.0,5.0,5.0,1.0,21.0
Alexander Zverev,Lorenzo Musetti,Clay,O,20220502,3,7.0,0.0,23.0,5.0,Madrid Masters,R16,6-3 1-0 RET,1,18.0,16.0,4.0,0.0,0.0,3.0,63.0
Felix Auger-Aliassime,Jannik Sinner,Clay,O,20220502,3,5.0,0.0,41.0,8.0,Madrid Masters,R16,6-1 6-2,1,29.0,26.0,7.0,0.0,0.0,10.0,12.0
Stefanos Tsitsipas,Grigor Dimitrov,Clay,O,20220502,3,10.0,0.0,49.0,10.0,Madrid Masters,R16,6-3 6-4,1,34.0,29.0,12.0,0.0,0.0,5.0,20.0
Andrey Rublev,Daniel Evans,Clay,O,20220502,3,8.0,5.0,91.0,12.0,Madrid Masters,R16,7-6(7) 7-5,1,47.0,41.0,16.0,3.0,5.0,8.0,36.0
Carlos Alcaraz,Cameron Norrie,Clay,O,20220502,3,7.0,4.0,105.0,15.0,Madrid Masters,R16,6-4 6-7(4) 6-3,1,73.0,52.0,14.0,7.0,9.0,9.0,11.0
Rafael Nadal,David Goffin,Clay,O,20220502,3,7.0,4.0,109.0,17.0,Madrid Masters,R16,6-3 5-7 7-6(9),1,72.0,55.0,20.0,2.0,5.0,4.0,60.0
Hubert Hurkacz,Dusan Lajovic,Clay,O,20220502,3,16.0,1.0,72.0,11.0,Madrid Masters,R16,7-5 6-3,1,42.0,35.0,15.0,3.0,3.0,14.0,77.0
Alexander Zverev,Felix Auger-Aliassime,Clay,O,20220502,3,1.0,9.0,68.0,10.0,Madrid Masters,QF,6-3 7-5,1,43.0,32.0,14.0,3.0,4.0,3.0,10.0
Stefanos Tsitsipas,Andrey Rublev,Clay,O,20220502,3,10.0,1.0,75.0,14.0,Madrid Masters,QF,6-3 2-6 6-4,1,48.0,39.0,14.0,3.0,5.0,5.0,8.0
Carlos Alcaraz,Rafael Nadal,Clay,O,20220502,3,4.0,3.0,70.0,12.0,Madrid Masters,QF,6-2 1-6 6-3,1,39.0,26.0,16.0,6.0,9.0,9.0,4.0
Novak Djokovic,Hubert Hurkacz,Clay,O,20220502,3,6.0,1.0,55.0,10.0,Madrid Masters,QF,6-3 6-4,1,36.0,29.0,13.0,0.0,0.0,1.0,14.0
Alexander Zverev,Stefanos Tsitsipas,Clay,O,20220502,3,4.0,4.0,66.0,13.0,Madrid Masters,SF,6-4 3-6 6-2,1,48.0,40.0,10.0,1.0,2.0,3.0,5.0
Carlos Alcaraz,Novak Djokovic,Clay,O,20220502,3,4.0,4.0,136.0,18.0,Madrid Masters,SF,6-7(5) 7-5 7-6(5),1,91.0,67.0,23.0,5.0,6.0,9.0,1.0
Carlos Alcaraz,Alexander Zverev,Clay,O,20220502,3,1.0,0.0,38.0,8.0,Madrid Masters,F,6-3 6-1,1,27.0,24.0,8.0,0.0,0.0,9.0,3.0
Sebastian Baez,Tallon Griekspoor,Clay,O,20220509,3,2.0,5.0,96.0,15.0,Rome Masters,R64,6-3 6-7(7) 6-2,1,70.0,55.0,10.0,2.0,4.0,37.0,67.0
Tommy Paul,Albert Ramos-Vinolas,Clay,O,20220509,3,1.0,1.0,53.0,10.0,Rome Masters,R64,6-4 6-4,1,32.0,22.0,10.0,2.0,5.0,34.0,43.0
Alex de Minaur,Dusan Lajovic,Clay,O,20220509,3,1.0,2.0,79.0,9.0,Rome Masters,R64,6-4 6-1,1,48.0,37.0,12.0,7.0,7.0,22.0,64.0
Cameron Norrie,Luca Nardi,Clay,O,20220509,3,3.0,3.0,55.0,10.0,Rome Masters,R64,6-4 6-4,1,30.0,26.0,16.0,4.0,4.0,11.0,201.0
Marin Cilic,Matteo Arnaldi,Clay,O,20220509,3,5.0,2.0,48.0,9.0,Rome Masters,R64,6-1 6-4,1,28.0,24.0,13.0,1.0,1.0,23.0,275.0
Cristian Garin,Francesco Passaro,Clay,O,20220509,3,1.0,2.0,54.0,8.0,Rome Masters,R64,6-3 6-2,1,35.0,23.0,8.0,6.0,9.0,45.0,368.0
Grigor Dimitrov,Brandon Nakashima,Clay,O,20220509,3,3.0,6.0,71.0,9.0,Rome Masters,R64,6-3 6-4,1,32.0,24.0,18.0,6.0,8.0,20.0,76.0
Karen Khachanov,Giulio Zeppieri,Clay,O,20220509,3,5.0,2.0,60.0,10.0,Rome Masters,R64,6-3 6-4,1,35.0,30.0,16.0,2.0,2.0,24.0,227.0
Pablo Carreno Busta,Federico Delbonis,Clay,O,20220509,3,1.0,1.0,57.0,9.0,Rome Masters,R64,6-3 6-2,1,37.0,26.0,12.0,2.0,3.0,18.0,39.0
Jannik Sinner,Pedro Martinez,Clay,O,20220509,3,4.0,1.0,57.0,10.0,Rome Masters,R64,6-4 6-3,1,35.0,27.0,12.0,1.0,2.0,13.0,40.0
Fabio Fognini,Dominic Thiem,Clay,O,20220509,3,1.0,2.0,83.0,11.0,Rome Masters,R64,6-4 7-6(5),1,41.0,32.0,22.0,6.0,7.0,57.0,162.0
Filip Krajinovic,Frances Tiafoe,Clay,O,20220509,3,6.0,1.0,108.0,12.0,Rome Masters,R64,7-6(7) 7-6(4),1,74.0,55.0,16.0,5.0,6.0,54.0,26.0
Botic van de Zandschulp,Sebastian Korda,Clay,O,20220509,3,1.0,1.0,48.0,8.0,Rome Masters,R64,6-4 6-1,1,27.0,22.0,13.0,2.0,2.0,32.0,30.0
Jenson Brooksby,Flavio Cobolli,Clay,O,20220509,3,1.0,3.0,68.0,10.0,Rome Masters,R64,6-3 6-4,1,39.0,27.0,15.0,9.0,11.0,38.0,150.0
David Goffin,Hubert Hurkacz,Clay,O,20220509,3,1.0,1.0,96.0,12.0,Rome Masters,R64,7-6(8) 7-6(2),1,53.0,43.0,23.0,4.0,5.0,48.0,12.0
Denis Shapovalov,Lorenzo Sonego,Clay,O,20220509,3,3.0,7.0,103.0,15.0,Rome Masters,R64,7-6(5) 3-6 6-3,1,55.0,43.0,25.0,3.0,5.0,16.0,28.0
Nikoloz Basilashvili,Daniel Evans,Clay,O,20220509,3,2.0,5.0,73.0,10.0,Rome Masters,R64,7-6(2) 6-2,1,35.0,22.0,24.0,2.0,4.0,25.0,33.0
John Isner,Francisco Cerundolo,Clay,O,20220509,3,13.0,0.0,70.0,10.0,Rome Masters,R64,6-4 6-3,1,42.0,30.0,16.0,7.0,8.0,27.0,49.0
Alejandro Davidovich Fokina,Ilya Ivashka,Clay,O,20220509,3,1.0,3.0,83.0,14.0,Rome Masters,R64,6-2 4-6 6-4,1,54.0,36.0,11.0,6.0,11.0,29.0,50.0
Marcos Giron,Alexander Bublik,Clay,O,20220509,3,4.0,0.0,84.0,14.0,Rome Masters,R64,3-6 6-4 6-3,1,60.0,40.0,15.0,4.0,6.0,60.0,41.0
Diego Schwartzman,Miomir Kecmanovic,Clay,O,20220509,3,0.0,4.0,100.0,15.0,Rome Masters,R64,6-2 3-6 7-6(3),1,64.0,39.0,18.0,3.0,9.0,15.0,31.0
Stan Wawrinka,Reilly Opelka,Clay,O,20220509,3,8.0,2.0,98.0,14.0,Rome Masters,R64,3-6 7-5 6-2,1,52.0,36.0,27.0,8.0,10.0,361.0,17.0
Laslo Djere,Borna Coric,Clay,O,20220509,3,3.0,3.0,106.0,14.0,Rome Masters,R64,6-2 6-7(3) 6-2,1,56.0,40.0,29.0,8.0,9.0,59.0,262.0
Aslan Karatsev,Lloyd Harris,Clay,O,20220509,3,3.0,4.0,103.0,15.0,Rome Masters,R64,3-6 6-3 7-6(7),1,63.0,47.0,20.0,1.0,3.0,35.0,36.0
Alexander Zverev,Sebastian Baez,Clay,O,20220509,3,8.0,1.0,68.0,11.0,Rome Masters,R32,7-6(6) 6-3,1,48.0,38.0,11.0,0.0,0.0,3.0,37.0
Alex de Minaur,Tommy Paul,Clay,O,20220509,3,2.0,0.0,63.0,11.0,Rome Masters,R32,7-5 6-4,1,37.0,24.0,16.0,2.0,5.0,22.0,34.0
Marin Cilic,Cameron Norrie,Clay,O,20220509,3,9.0,3.0,78.0,14.0,Rome Masters,R32,5-7 6-2 6-1,1,48.0,38.0,17.0,1.0,3.0,23.0,11.0
Cristian Garin,Emil Ruusuvuori,Clay,O,20220509,3,0.0,5.0,59.0,10.0,Rome Masters,R32,6-4 6-4,1,34.0,23.0,13.0,1.0,3.0,45.0,61.0
Stefanos Tsitsipas,Grigor Dimitrov,Clay,O,20220509,3,12.0,5.0,107.0,17.0,Rome Masters,R32,6-3 5-7 7-6(4),1,73.0,53.0,19.0,4.0,6.0,5.0,20.0
Karen Khachanov,Pablo Carreno Busta,Clay,O,20220509,3,5.0,3.0,95.0,13.0,Rome Masters,R32,6-4 2-6 6-1,1,51.0,36.0,23.0,7.0,9.0,24.0,18.0
Jannik Sinner,Fabio Fognini,Clay,O,20220509,3,2.0,1.0,71.0,13.0,Rome Masters,R32,6-2 3-6 6-3,1,33.0,24.0,21.0,2.0,5.0,13.0,57.0
Filip Krajinovic,Andrey Rublev,Clay,O,20220509,3,2.0,0.0,56.0,9.0,Rome Masters,R32,6-2 6-4,1,38.0,29.0,11.0,3.0,3.0,54.0,7.0
Casper Ruud,Botic van de Zandschulp,Clay,O,20220509,3,1.0,1.0,94.0,15.0,Rome Masters,R32,6-7(4) 6-2 6-4,1,69.0,54.0,13.0,4.0,5.0,10.0,32.0
Jenson Brooksby,David Goffin,Clay,O,20220509,3,6.0,1.0,65.0,9.0,Rome Masters,R32,6-0 7-6(1),1,42.0,26.0,12.0,2.0,5.0,38.0,48.0
Denis Shapovalov,Nikoloz Basilashvili,Clay,O,20220509,3,7.0,4.0,67.0,11.0,Rome Masters,R32,6-4 7-6(5),1,47.0,40.0,10.0,1.0,1.0,16.0,25.0
Rafael Nadal,John Isner,Clay,O,20220509,3,1.0,2.0,49.0,8.0,Rome Masters,R32,6-3 6-1,1,27.0,22.0,13.0,2.0,2.0,4.0,27.0
Felix Auger-Aliassime,Alejandro Davidovich Fokina,Clay,O,20220509,3,5.0,4.0,116.0,15.0,Rome Masters,R32,4-6 7-6(2) 6-2,1,76.0,50.0,22.0,9.0,11.0,9.0,29.0
Marcos Giron,Diego Schwartzman,Clay,O,20220509,3,4.0,1.0,56.0,9.0,Rome Masters,R32,6-1 7-6(4),1,35.0,28.0,11.0,3.0,4.0,60.0,15.0
Stan Wawrinka,Laslo Djere,Clay,O,20220509,3,7.0,4.0,89.0,15.0,Rome Masters,R32,7-6(8) 3-6 6-4,1,49.0,39.0,23.0,1.0,3.0,361.0,59.0
Novak Djokovic,Aslan Karatsev,Clay,O,20220509,3,1.0,2.0,51.0,9.0,Rome Masters,R32,6-3 6-2,1,25.0,19.0,17.0,1.0,2.0,1.0,35.0
Alexander Zverev,Alex de Minaur,Clay,O,20220509,3,4.0,2.0,61.0,11.0,Rome Masters,R16,6-3 7-6(5),1,41.0,31.0,9.0,1.0,4.0,3.0,22.0
Cristian Garin,Marin Cilic,Clay,O,20220509,3,1.0,6.0,116.0,14.0,Rome Masters,R16,6-3 4-6 6-4,1,72.0,42.0,23.0,16.0,20.0,45.0,23.0
Stefanos Tsitsipas,Karen Khachanov,Clay,O,20220509,3,8.0,4.0,77.0,13.0,Rome Masters,R16,4-6 6-0 6-3,1,48.0,38.0,15.0,6.0,8.0,5.0,24.0
Jannik Sinner,Filip Krajinovic,Clay,O,20220509,3,13.0,2.0,70.0,10.0,Rome Masters,R16,6-2 7-6(6),1,38.0,31.0,14.0,1.0,2.0,13.0,54.0
Casper Ruud,Jenson Brooksby,Clay,O,20220509,3,5.0,2.0,64.0,10.0,Rome Masters,R16,6-3 6-4,1,42.0,36.0,10.0,3.0,3.0,10.0,38.0
Denis Shapovalov,Rafael Nadal,Clay,O,20220509,3,13.0,3.0,93.0,13.0,Rome Masters,R16,1-6 7-5 6-2,1,63.0,40.0,13.0,7.0,11.0,16.0,4.0
Felix Auger-Aliassime,Marcos Giron,Clay,O,20220509,3,11.0,3.0,55.0,9.0,Rome Masters,R16,6-3 6-2,1,31.0,26.0,13.0,2.0,3.0,9.0,60.0
Novak Djokovic,Stan Wawrinka,Clay,O,20220509,3,2.0,0.0,48.0,8.0,Rome Masters,R16,6-2 6-2,1,36.0,27.0,6.0,3.0,4.0,1.0,361.0
Alexander Zverev,Cristian Garin,Clay,O,20220509,3,4.0,2.0,74.0,10.0,Rome Masters,QF,7-5 6-2,1,47.0,33.0,14.0,4.0,5.0,3.0,45.0
Stefanos Tsitsipas,Jannik Sinner,Clay,O,20220509,3,10.0,5.0,95.0,10.0,Rome Masters,QF,7-6(5) 6-2,1,62.0,44.0,14.0,5.0,6.0,5.0,13.0
Casper Ruud,Denis Shapovalov,Clay,O,20220509,3,5.0,1.0,81.0,12.0,Rome Masters,QF,7-6(7) 7-5,1,58.0,45.0,15.0,2.0,2.0,10.0,16.0
Novak Djokovic,Felix Auger-Aliassime,Clay,O,20220509,3,4.0,0.0,75.0,12.0,Rome Masters,QF,7-5 7-6(1),1,57.0,42.0,11.0,3.0,5.0,1.0,9.0
Stefanos Tsitsipas,Alexander Zverev,Clay,O,20220509,3,3.0,1.0,91.0,14.0,Rome Masters,SF,4-6 6-3 6-3,1,55.0,38.0,22.0,2.0,3.0,5.0,3.0
Novak Djokovic,Casper Ruud,Clay,O,20220509,3,1.0,1.0,51.0,9.0,Rome Masters,SF,6-4 6-3,1,33.0,23.0,12.0,0.0,1.0,1.0,10.0
Novak Djokovic,Stefanos Tsitsipas,Clay,O,20220509,3,6.0,1.0,53.0,9.0,Rome Masters,F,6-0 7-6(5),1,37.0,30.0,9.0,1.0,2.0,1.0,5.0
Benoit Paire,Emil Ruusuvuori,Clay,O,20220516,3,8.0,8.0,92.0,17.0,Geneva,R32,7-5 5-7 6-4,1,45.0,37.0,26.0,2.0,5.0,67.0,61.0
Thanasi Kokkinakis,Fabio Fognini,Clay,O,20220516,3,7.0,0.0,61.0,10.0,Geneva,R32,6-4 6-3,1,35.0,28.0,12.0,6.0,7.0,85.0,52.0
Federico Delbonis,Ricardas Berankis,Clay,O,20220516,3,6.0,3.0,78.0,10.0,Geneva,R32,6-4 6-4,1,53.0,34.0,16.0,5.0,6.0,62.0,101.0
Christopher O'Connell,Albert Ramos-Vinolas,Clay,O,20220516,3,11.0,2.0,72.0,11.0,Geneva,R32,7-6(5) 6-4,1,38.0,32.0,21.0,2.0,2.0,124.0,42.0
Johan Nikles,Leandro Riedi,Clay,O,20220516,3,1.0,0.0,112.0,18.0,Geneva,R32,5-7 7-6(3) 7-5,1,76.0,49.0,20.0,6.0,10.0,317.0,301.0
Tallon Griekspoor,Tommy Paul,Clay,O,20220516,3,4.0,6.0,115.0,17.0,Geneva,R32,7-5 6-7(3) 6-4,1,73.0,51.0,21.0,7.0,10.0,64.0,33.0
Nikoloz Basilashvili,Facundo Bagnis,Clay,O,20220516,3,0.0,1.0,30.0,5.0,Geneva,R32,6-4 RET,1,18.0,15.0,5.0,1.0,2.0,25.0,98.0
Joao Sousa,Pablo Andujar,Clay,O,20220516,3,5.0,1.0,49.0,9.0,Geneva,R32,6-1 6-4,1,34.0,26.0,10.0,2.0,3.0,79.0,83.0
Ilya Ivashka,Marcos Giron,Clay,O,20220516,3,9.0,1.0,78.0,14.0,Geneva,R32,4-6 6-3 6-2,1,54.0,45.0,10.0,2.0,3.0,50.0,49.0
Kamil Majchrzak,Alexander Bublik,Clay,O,20220516,3,3.0,2.0,92.0,15.0,Geneva,R32,6-1 6-7(4) 6-3,1,62.0,50.0,16.0,5.0,5.0,81.0,41.0
Marco Cecchinato,Dominic Thiem,Clay,O,20220516,3,4.0,2.0,69.0,10.0,Geneva,R32,6-3 6-4,1,39.0,32.0,16.0,7.0,7.0,134.0,194.0
Richard Gasquet,John Millman,Clay,O,20220516,3,4.0,2.0,52.0,8.0,Geneva,R32,6-3 6-1,1,26.0,22.0,14.0,3.0,3.0,75.0,93.0
Casper Ruud,Benoit Paire,Clay,O,20220516,3,5.0,0.0,48.0,8.0,Geneva,R16,6-3 6-1,1,29.0,18.0,14.0,1.0,2.0,8.0,67.0
Thanasi Kokkinakis,Federico Delbonis,Clay,O,20220516,3,8.0,3.0,84.0,15.0,Geneva,R16,1-6 7-5 7-5,1,50.0,38.0,19.0,5.0,8.0,85.0,62.0
Reilly Opelka,Christopher O'Connell,Clay,O,20220516,3,13.0,1.0,54.0,10.0,Geneva,R16,6-3 7-5,1,30.0,25.0,18.0,1.0,1.0,18.0,124.0
Tallon Griekspoor,Johan Nikles,Clay,O,20220516,3,1.0,2.0,67.0,10.0,Geneva,R16,6-3 7-5,1,52.0,37.0,7.0,5.0,7.0,64.0,317.0
Joao Sousa,Nikoloz Basilashvili,Clay,O,20220516,3,8.0,0.0,58.0,10.0,Geneva,R16,6-4 6-3,1,38.0,27.0,14.0,1.0,2.0,79.0,25.0
Ilya Ivashka,Denis Shapovalov,Clay,O,20220516,3,4.0,4.0,101.0,16.0,Geneva,R16,6-4 6-7(2) 6-3,1,68.0,53.0,17.0,1.0,1.0,50.0,15.0
Kamil Majchrzak,Marco Cecchinato,Clay,O,20220516,3,2.0,0.0,63.0,9.0,Geneva,R16,6-2 6-3,1,40.0,29.0,9.0,5.0,7.0,81.0,134.0
Richard Gasquet,Daniil Medvedev,Clay,O,20220516,3,2.0,1.0,66.0,10.0,Geneva,R16,6-2 7-6(5),1,35.0,26.0,19.0,1.0,2.0,75.0,2.0
Casper Ruud,Thanasi Kokkinakis,Clay,O,20220516,3,1.0,3.0,67.0,11.0,Geneva,QF,6-4 7-6(3),1,42.0,38.0,13.0,2.0,2.0,8.0,85.0
Reilly Opelka,Tallon Griekspoor,Clay,O,20220516,3,14.0,2.0,73.0,14.0,Geneva,QF,6-4 3-6 6-3,1,47.0,40.0,12.0,2.0,4.0,18.0,64.0
Joao Sousa,Ilya Ivashka,Clay,O,20220516,3,0.0,0.0,60.0,12.0,Geneva,QF,7-5 7-5,1,32.0,23.0,15.0,2.0,6.0,79.0,50.0
Richard Gasquet,Kamil Majchrzak,Clay,O,20220516,3,3.0,1.0,53.0,9.0,Geneva,QF,6-2 6-4,1,22.0,21.0,17.0,1.0,1.0,75.0,81.0
Casper Ruud,Reilly Opelka,Clay,O,20220516,3,4.0,2.0,64.0,12.0,Geneva,SF,7-6(2) 7-5,1,46.0,41.0,13.0,0.0,0.0,8.0,18.0
Joao Sousa,Richard Gasquet,Clay,O,20220516,3,4.0,2.0,52.0,8.0,Geneva,SF,6-2 6-2,1,34.0,28.0,10.0,4.0,4.0,79.0,75.0
Casper Ruud,Joao Sousa,Clay,O,20220516,3,11.0,2.0,117.0,17.0,Geneva,F,7-6(3) 4-6 7-6(1),1,79.0,56.0,21.0,7.0,10.0,8.0,79.0
Federico Coria,Daniel Altmaier,Clay,O,20220516,3,4.0,3.0,84.0,14.0,Lyon,R32,6-3 3-6 6-3,1,50.0,36.0,17.0,6.0,9.0,59.0,54.0
Alex Molcan,Jo-Wilfried Tsonga,Clay,O,20220516,3,3.0,1.0,58.0,10.0,Lyon,R32,6-4 6-4,1,36.0,26.0,17.0,4.0,4.0,47.0,267.0
Karen Khachanov,Gilles Simon,Clay,O,20220516,3,3.0,0.0,50.0,9.0,Lyon,R32,6-1 6-4,1,26.0,22.0,16.0,1.0,1.0,24.0,159.0
Ugo Humbert,Gregoire Barrere,Clay,O,20220516,3,3.0,0.0,55.0,10.0,Lyon,R32,6-3 6-4,1,37.0,25.0,10.0,1.0,3.0,45.0,209.0
Soonwoo Kwon,Aljaz Bedene,Clay,O,20220516,3,3.0,7.0,80.0,14.0,Lyon,R32,4-6 7-6(4) 6-0,1,48.0,32.0,19.0,4.0,8.0,71.0,175.0
